token name           token value         
reswd                read                
id                   x                   
op                   ;                   
reswd                if                  
num                  0                   
op                   <                   
id                   x                   
reswd                then                
id                   fact                
eq                   :=                  
num                  1                   
op                   ;                   
reswd                repeat              
id                   fact                
eq                   :=                  
id                   fact                
op                   *                   
id                   x                   
op                   ;                   
id                   x                   
eq                   :=                  
id                   x                   
op                   -                   
num                  1                   
reswd                until               
id                   x                   
op                   =                   
num                  0                   
op                   ;                   
reswd                write               
id                   fact                
reswd                end                 
